x,y,lon,lat,name
1518,997,24.74081128711329,59.449817765710506,Patarei
3054,1328,24.78626204305336,59.43800896969225,Kadriorg
1676,1755,24.738995046808398,59.43707604682449,Toomkirik
2059,2776,24.741490043256782,59.41941289715225,Parnu mnt
1913,1902,24.745270876210004,59.4337333664803,Jaani kirik
1750,2050,24.73913836611673,59.431982348819595,Kaarli kirik
1252,2054,24.72332881454198,59.43418845988692,Paldiski mnt
792,2492,24.705125002296104,59.429310740067685,Endla
1229,1099,24.730765301790196,59.449442719057565,Kalamaja surnuaed
3316,2167,24.786889216130827,59.42333570582183,Tartu mnt
3444,1260,24.79858637645839,59.43728027135457,Valge tuletorn
2356,2411,24.755371500116784,59.42373755109263,Jewish cemetary
1943,2300,24.742478930443422,59.42725949898295,Liivalaia
